model,number_of_samples,test_accuracy
SVM,100,52.2
TISVM,100,53.2
LOCSVM,100,50.4
LRISVM,100,52.0
LTISVM,100,39.2
LTIRSVM,100,39.2
SVM,200,54.0
TISVM,200,54.800000000000004
LOCSVM,200,53.800000000000004
LRISVM,200,54.400000000000006
LTISVM,200,39.800000000000004
LTIRSVM,200,40.0
SVM,400,55.400000000000006
TISVM,400,56.599999999999994
LOCSVM,400,53.6
LRISVM,400,54.6
LTISVM,400,38.4
LTIRSVM,400,38.4
